date_time,Average PMV,Habitability,Habitability?
2021-01-14 18:00:00,-4.253504938964589,H,NH
2021-01-14 19:00:00,-4.2552070093072585,H,NH
2021-01-14 20:00:00,-4.252985151280914,H,NH
2021-01-14 21:00:00,-4.245151565206521,H,NH
2021-01-14 22:00:00,-4.246148091613976,H,NH
2021-01-14 23:00:00,-4.24960993007181,H,NH
2021-01-15 00:00:00,-4.248112342241615,H,NH
2021-01-15 01:00:00,-4.239303019495758,H,NH
2021-01-15 02:00:00,-4.231664609378939,H,NH
2021-01-15 03:00:00,-4.230062212287749,H,NH
2021-01-15 04:00:00,-4.238185560465573,H,NH
2021-01-15 05:00:00,-4.249702256201271,H,NH
2021-01-15 06:00:00,-4.246412321847099,H,NH
2021-01-15 07:00:00,-4.242880333305962,H,NH
2021-01-15 08:00:00,-4.250099230158495,H,NH
2021-01-15 09:00:00,-4.261120597019538,H,NH
2021-01-15 10:00:00,-4.256820328698375,H,NH
2021-01-15 11:00:00,-4.244553623019545,H,NH
2021-01-15 12:00:00,-4.23837142116409,H,NH
2021-01-15 13:00:00,-4.230505495668161,H,NH
2021-01-15 14:00:00,-4.227054074423489,H,NH
2021-01-15 15:00:00,-4.228360902986409,H,NH
2021-01-15 16:00:00,-4.231784124072138,H,NH
2021-01-15 17:00:00,-4.237170607765468,H,NH
2021-01-15 18:00:00,-4.232335559780524,H,NH
2021-01-15 19:00:00,-4.23118377321489,H,NH
2021-01-15 20:00:00,-4.230038479627182,H,NH
2021-01-15 21:00:00,-4.221569496987027,H,NH
2021-01-15 22:00:00,-4.213050552120182,H,NH
2021-01-15 23:00:00,-4.214472341642423,H,NH
2021-01-16 00:00:00,-4.222326296093891,H,NH
2021-01-16 01:00:00,-4.236241294235402,H,NH
2021-01-16 02:00:00,-4.245126284509577,H,NH
2021-01-16 03:00:00,-4.244217459738511,H,NH
2021-01-16 04:00:00,-4.243773051000386,H,NH
2021-01-16 05:00:00,-4.254702792884738,H,NH
2021-01-16 06:00:00,-4.268313606901573,H,NH
